source_user_id,source_user_name,target_user_id,target_user_name,weight,source_dominant_stance,target_dominant_stance,same_dominant_stance
bilibili:101341678,晓夏暮殇,bilibili:40853970,演员熊凤山,1,question_xibei,unclear_meme,false
bilibili:10279167,正版绅士,bilibili:149045078,落车six,1,unclear_meme,unclear_meme,true
bilibili:108065228,Htr音殇,bilibili:6890637,萱草丶江蓠,1,question_xibei,question_xibei,true
bilibili:108539549,咿唷咿呀,bilibili:666839416,看视频的工程师,1,unclear_meme,unclear_meme,true
bilibili:10877703,丸鸽割,bilibili:509046121,我在银河烤翅膀,1,question_xibei,question_xibei,true
bilibili:11179188,精神打工人,bilibili:261892524,大明瓦学弟朱祁镇,1,question_xibei,question_xibei,true
bilibili:1203415125,KG少帅,bilibili:11630400,AyLi丶,1,unclear_meme,question_xibei,false
bilibili:13186726,蓝光Blue-Light,bilibili:17545884,ray21121,1,unclear_meme,question_xibei,false
bilibili:13611391,醉生梦死人生又几何,bilibili:173244991,大方向是对的长长名字,1,unclear_meme,unclear_meme,true
bilibili:13863187,冰靈黑咖,bilibili:164099874,叁石头,1,question_xibei,unclear_meme,false
bilibili:13867600,願望猴哥,bilibili:209499579,尾张大傻瓜织田信长,1,question_xibei,question_xibei,true
bilibili:14329097,赵深沉Zz,bilibili:396015923,广东广西大件搬家物流,1,question_xibei,neutral_discussion,false
bilibili:1436318194,o幸运のi,bilibili:57167867,饭巴斯滕,1,unclear_meme,question_xibei,false
bilibili:14455663,右乘行满秩不变,bilibili:233587785,_旧青年,1,unclear_meme,unclear_meme,true
bilibili:14455663,右乘行满秩不变,bilibili:3546587034815126,Meowtains,1,unclear_meme,unclear_meme,true
bilibili:15534260,萨马兰奇怪,bilibili:405069934,jonning的小号,1,unclear_meme,question_xibei,false
bilibili:159147571,对面的杜老头,bilibili:33709459,猪呆呆吃玉米,1,unclear_meme,unclear_meme,true
bilibili:17222569,长坂坡斩貂蝉,bilibili:17545884,ray21121,1,question_xibei,question_xibei,true
bilibili:1722854,_催眠君_,bilibili:16569302,弃庸乎,1,unclear_meme,unclear_meme,true
